,url,keyword,terms,error,access_date
0,https://www.builtinnyc.com/job/product/product-manager-ii-member-experience/213909,You Have,Bonus Qualifications,,2023-08-14 21:25:35.429255
1,https://www.builtinnyc.com/job/product/product-manager-core-product/229113,Skills You'll Need to Bring:,"['You have a track record of leading development of high quality products with technical components that meaningfully impact company outcomes', 'You find delight in unpacking and solving deeply complex problems without losing sight of the big picture', 'You are the champion of the customer, while remaining laser focused on delivering significant business impact', 'You have experience using quantitative (e.g., metrics, analytics) and qualitative data (e.g., research, user feedback) to inform product prioritization and decision-making', 'You have built, or are committed to building, diverse and inclusive product teams']",,2023-08-14 21:25:36.415859
3,https://www.builtinnyc.com/job/product/product-manager/229047,Requirements,"['3+ years of hands-on Product Management experience', 'Experience working on data components for product pipelines - reliable inbound data, managing data gaps and variation, data cleansing, and data quality', 'Experience working on user interfaces that query and present data with production-ready insights', 'Comfortable with SQL and/or Python', 'Comfortable (and excited!) about ambiguity and turning product vision into specific features and designs']",,2023-08-14 21:26:45.675052
4,https://www.builtinnyc.com/job/product/product-manager-sdks/223458,Requirements,,,2023-08-14 21:26:46.718054
5,https://www.builtinnyc.com/job/product/staff-product-manager/226087,Requirements,"Many backgrounds could fit this role, but ideal candidates will have some or all of the following:",,2023-08-14 21:26:47.386335
6,https://www.builtinnyc.com/job/product/manager-product-management-matchbox/228742,Qualifications,"["" Bachelor's Degree or military experience"", ' At least 3 years of product management experience or at least 3 years of experience in product design, agile delivery, business analysis, data science, or software engineering']",,2023-08-14 21:26:48.840284
8,https://www.builtinnyc.com/job/product/product-manager/228998,Qualifications,"["" A Bachelor's degree, or equivalent"", ' 5+ years working in a fast-paced product centric environment', ' Experience driving projects with cross-functional colleagues', ' Ideally, experience working in News or Publishing, and with Content Management Systems', ' Experience in UX/UI Design is a bonus']",,2023-08-14 21:27:49.564923
9,https://www.builtinnyc.com/job/product/product-manager-vault-api-sdk/232319,Requirements,"['2+ years of Product Management or Software Engineering experience', 'Excellent spoken and written communications skills', 'Knowledge of identity management and authentication standards and technologies', 'Passion for clean user interface design', 'Strong analytical problem-solving skills']",,2023-08-14 21:27:50.136177
0,https://www.builtinnyc.com/job/product/group-product-manager-employer-risk/225691,You Have,"You will inherit an existing roadmap focused on table stakes for our Employer Risk programs, but will have an opportunity to define an ambitious path forward, focused on our SUI and Worker’s Compensation programs and our broader vertical expansion efforts to strengthen product market fit across new industries. You will have an opportunity to make a deep impact across the small businesses that use Justworks with features and services that will be touched by hundreds of thousands end-users.",,2023-08-14 21:28:50.776482
2,https://www.builtinnyc.com/job/product/sr-manager-product-manager/220903,We want you if you are,"[""Intellectually Curious .  You ask why, you explore, you're not afraid to blurt out your crazy idea or follow an email chain for weeks to find someone with an answer. Comfortable with ambiguity, a hunger to learn and a seeker of new challenges."", ""Communicator & Influencer.  You can communicate complex ideas clearly regardless of your audience. Our team knows their priorities and why they're doing what they're doing. You always can rally associates to work with you."", ""Do-er.  You're biased toward action, you try things and sometimes you fail. You can get around roadblocks and stay focused on your goals. You're well organized, able to multitask and able to prioritize your work."", ""Passionate & Customer Focus .  You care about growing others and bringing them together around what's possible. You get a thrill from the journey of building and shipping products, and you have a desire and ability to connect with our external or internal customers to fully understand their needs."", 'Learner.  You have an appetite to learn new things or new technologies all while exhibiting humbleness when the time comes to ask for help.', 'Team Player.  You enjoy working with diverse people and driving the team toward a common goal. You have the ability to put the team before yourself and establish long-lasting relationships.']",,2023-08-14 21:30:32.261232
